96969,Biography Drama War ,nm0000129 nm0000855 nm0442512 nm0262923 ,1/5/1990,nm0000231 ,English Spanish,USA,The biography of Ron Kovic. Paralyzed in the Vietnam war,,,
102603,Comedy Crime ,nm0000230 nm0001560 nm0000747 nm0726200 ,4/26/1991,nm0000484 ,English Italian,USA,"Angelo ""Snaps"" Provolone made his dying father a promise on his deathbed: he would leave the world of crime and become an honest businessman...",,,
104299,Action Sci-Fi Thriller ,nm0000389 nm0001396 nm0000623 nm0000164 ,1/17/1992,nm0614276 ,English,USA,Bounty hunters from the future transport a doomed race-car driver to 2009 New York,,,
101272,Comedy Fantasy ,nm0001378 nm0000471 nm0000502 nm0000445 ,11/22/1991,nm0001756 ,English,USA,Con artists plan to fleece the eccentric family using an accomplice who claims to be their long lost Uncle Fester.,,,
2403029,Comedy Sci-Fi ,nm2118666 nm2301213 nm2421367 nm0101242 ,10/31/2013,nm0294997 nm0783536 ,English,USA,In this Hunger Games spoof,,,
103957,Horror ,nm0000947 nm0217938 nm0000371 nm0572394 ,,nm0709752 ,English,USA,A schoolteacher teams up with with a priest to stop a town being overrun by vampires.,,,
103956,Horror Mystery Thriller ,nm0923529 nm0716275 nm0843199 nm0003910 ,8/30/1991,nm0070474 ,English,UK USA,Chucky,,,
1855152,Documentary Sport ,nm0000191 ,5/22/2013,nm0623715 ,English,UK,CHARGE captures a pivotal moment in motor sport history: the advent of high-speed,,,
99073,Drama ,nm0001644 nm0001610 nm0297249 nm0072126 ,10/5/1990,nm0001469 ,English Yiddish,USA,A Polish-Jewish family comes to the USA at the beginning of the Twentieth Century. There,,,
120363,Animation Adventure Comedy Family Fantasy ,nm0000158 nm0000741 nm0000349 nm0001288 ,11/24/1999,nm0005124 nm0105169 ,English Arabic,USA,When Woody is stolen by a toy collector,,,
961097,Animation Adventure Comedy Fantasy Music ,nm1342060 nm0660854 nm0255362 nm0167388 ,10/12/2011,nm0074426 ,French English,France,A 3D-animated movie set in Paris in the year 1910 and centered on a monster who lives in a garden and his love for a beautiful,,,
99077,Biography Drama ,nm0000134 nm0000245 nm0001413 nm0625724 ,12/20/1990,nm0001508 ,English,USA,The victims of an encephalitis epidemic many years ago have been catatonic ever since,,,
419294,Adventure Crime Drama Mystery Western ,nm0000169 nm0001608 nm0948267 nm0005064 ,2/3/2006,nm0000169 ,English Spanish,USA France,Ranch hand Pete Perkins looks to fulfill the promise to his recently deceased best friend by burying him in his hometown in Mexico.,,,
2002718,Action Crime Thriller ,nm0001803 nm0891786 nm0000154 nm0004695 ,10/11/2013,nm0001675 ,English Spanish,Russia USA,The U.S. government recruits Machete to battle his way through Mexico in order to take down an arms dealer who looks to launch a weapon into space.,,,
2359427,Documentary Biography Sport ,nm4907752 nm0196654 nm1495244 nm5604766 ,10/2/2013,nm1456609 ,English Mandarin,USA,The life story of basketball sensation,,,
2211808,Comedy ,nm0347300 nm1795849 nm0900612 nm0668551 ,8/30/2013,nm1897437 nm0285040 ,Portuguese,Brazil,,,,
1559033,Horror ,nm2055792 nm2811944 nm0917347 nm3284401 ,9/22/2011,nm2393910 ,English,USA UK Bulgaria,Amber dreams of escaping her small town existence and persuades her friends to accompany her to find an apartment in the big city...,,,
384708,,nm0019774 nm0083777 nm0721538 nm0880130 ,10/3/2003,nm0952077 ,Turkish,Turkey Cyprus Italy,,,,
1024733,Comedy Drama ,nm0000686 nm0005273 nm0000232 nm0001002 ,,nm0170719 ,English,USA,The conservative son of a thrifty conman begrudgingly joins his father on the road -- after being released from jail for one of his dad's earlier crimes.,,,
131566,Crime Drama History Thriller ,nm0000191 nm0295484 nm0070987 nm0105280 ,6/25/1999,nm0213139 ,English,UK,The story of Nick Leeson,,,
2733992,Documentary Adventure ,,,nm2741001 nm3840001 ,English Gaelic,UK,How do you capture the essence of Scotland in just one film? You invite people from all across the country...,,,
2148823,Short Drama Horror ,nm2381197 nm1864017 nm2459787 nm1913224 ,,nm2459787 ,English,USA,This is a short horror film that will follow young Ester as she enters the murky waters of middle school...,,,
